 ****************** Start WS v. 1.5 at 24-Sep-12 18:16:16 ******************
 
 multi none revert,0,0,0,0,0,0
 energy   5.300 GeV   current 250.0 mA
 period  12.000  cm   N        49.0      Kx      0.000      Ky      9.000
 emin     500.0  eV   emax 100000.0 eV   ne       5000
 d       20.000   m   xpc     1.000 mm   ypc     0.500 mm
 xps      0.500  mm   yps     0.250 mm   nxp        10      nyp        10
 
 b0       0.803   T   ec0    15.005  keV
 e1        53.6  eV   l1    231.466  A
 ptot   16855.5   W   pd      210.2  W/mm^2
 
 Flux through   0.500 mm x  0.250 mm pinhole at  1.000 mm,  0.500 mm @ 20.000 m:
 Integrated flux   1.202E+16 ph/s
 Integrated power       23.1 W
 
 Energy(eV)   Flux(ph/s/0.1%bw)   p1      p2      p3      p4
   5993.499   3.590459E+12     0.936   0.000   0.000   0.064
   6013.403   3.594742E+12     0.936   0.000   0.000   0.064
   6033.307   3.599002E+12     0.936   0.000   0.000   0.064
   6053.211   3.603238E+12     0.936   0.000   0.000   0.064
   6073.115   3.607450E+12     0.936   0.000   0.000   0.064
   6093.019   3.611638E+12     0.935   0.000   0.000   0.065
   6112.923   3.615803E+12     0.935   0.000   0.000   0.065
   6132.827   3.619944E+12     0.935   0.000   0.000   0.065
   6152.731   3.624061E+12     0.935   0.000   0.000   0.065
   6172.635   3.628156E+12     0.935   0.000   0.000   0.065
   6192.539   3.632227E+12     0.935   0.000   0.000   0.065
   6212.442   3.636274E+12     0.935   0.000   0.000   0.065
   6232.346   3.640299E+12     0.935   0.000   0.000   0.065
   6252.250   3.644301E+12     0.935   0.000   0.000   0.065
   6272.154   3.648280E+12     0.935   0.000   0.000   0.065
   6292.058   3.652235E+12     0.935   0.000   0.000   0.065
   6311.962   3.656169E+12     0.935   0.000   0.000   0.065
   6331.866   3.660079E+12     0.935   0.000   0.000   0.065
   6351.770   3.663967E+12     0.935   0.000   0.000   0.065
   6371.674   3.667832E+12     0.934   0.000   0.000   0.066
   6391.578   3.671675E+12     0.934   0.000   0.000   0.066
   6411.482   3.675495E+12     0.934   0.000   0.000   0.066
   6431.386   3.679293E+12     0.934   0.000   0.000   0.066
   6451.290   3.683069E+12     0.934   0.000   0.000   0.066
   6471.194   3.686823E+12     0.934   0.000   0.000   0.066
   6491.098   3.690555E+12     0.934   0.000   0.000   0.066
   6511.002   3.694265E+12     0.934   0.000   0.000   0.066
   6530.906   3.697952E+12     0.934   0.000   0.000   0.066
   6550.810   3.701618E+12     0.934   0.000   0.000   0.066
   6570.714   3.705263E+12     0.934   0.000   0.000   0.066
   6590.618   3.708885E+12     0.934   0.000   0.000   0.066
   6610.522   3.712486E+12     0.934   0.000   0.000   0.066
   6630.426   3.716066E+12     0.934   0.000   0.000   0.066
   6650.330   3.719624E+12     0.933   0.000   0.000   0.067
   6670.234   3.723160E+12     0.933   0.000   0.000   0.067
   6690.138   3.726676E+12     0.933   0.000   0.000   0.067
   6710.042   3.730170E+12     0.933   0.000   0.000   0.067
   6729.946   3.733643E+12     0.933   0.000   0.000   0.067
   6749.850   3.737095E+12     0.933   0.000   0.000   0.067
   6769.754   3.740526E+12     0.933   0.000   0.000   0.067
   6789.658   3.743936E+12     0.933   0.000   0.000   0.067
   6809.562   3.747325E+12     0.933   0.000   0.000   0.067
   6829.466   3.750693E+12     0.933   0.000   0.000   0.067
   6849.370   3.754041E+12     0.933   0.000   0.000   0.067
   6869.274   3.757368E+12     0.933   0.000   0.000   0.067
   6889.178   3.760674E+12     0.933   0.000   0.000   0.067
   6909.082   3.763960E+12     0.933   0.000   0.000   0.067
   6928.986   3.767225E+12     0.933   0.000   0.000   0.067
   6948.890   3.770471E+12     0.932   0.000   0.000   0.068
   6968.794   3.773695E+12     0.932   0.000   0.000   0.068
   6988.698   3.776900E+12     0.932   0.000   0.000   0.068
   7008.602   3.780085E+12     0.932   0.000   0.000   0.068
   7028.506   3.783249E+12     0.932   0.000   0.000   0.068
   7048.410   3.786394E+12     0.932   0.000   0.000   0.068
   7068.314   3.789518E+12     0.932   0.000   0.000   0.068
   7088.218   3.792623E+12     0.932   0.000   0.000   0.068
   7108.122   3.795707E+12     0.932   0.000   0.000   0.068
   7128.026   3.798773E+12     0.932   0.000   0.000   0.068
   7147.930   3.801818E+12     0.932   0.000   0.000   0.068
   7167.834   3.804844E+12     0.932   0.000   0.000   0.068
   7187.738   3.807850E+12     0.932   0.000   0.000   0.068
   7207.642   3.810837E+12     0.932   0.000   0.000   0.068
   7227.546   3.813804E+12     0.932   0.000   0.000   0.068
   7247.449   3.816752E+12     0.932   0.000   0.000   0.068
   7267.353   3.819681E+12     0.931   0.000   0.000   0.069
   7287.257   3.822591E+12     0.931   0.000   0.000   0.069
   7307.161   3.825481E+12     0.931   0.000   0.000   0.069
